sample,sample_complete_description,core,method,enrichment,subgroup,filtered_pairs,unfiltered_reads,unfiltered_pairs,pass_pairing_filter,pass_min_read_ani,unfiltered_priority_reads,filtered_singletons,mean_insert_distance,mean_mistmaches,pass_max_insert,unfiltered_singletons,mean_PID,pass_min_insert,mean_mapq_score,filtered_priority_reads,mean_pair_length,pass_min_mapq,median_insert
S_3_6_30_COL_S14,S_3_6_30_COL_S14_MIGS,MIGS,MOS & COL,enriched,MIGS_MOS & COL,9489,33275,15219,15219,11933.0,0,0,244.24029174058742,3.8062947631250412,15154.0,2837,0.9745969898790152,14474.0,28.7645048951968,0,149.84617911820754,10885.0,226.46685064721729
S_3_6_30_MOS_S13,S_3_6_30_MOS_S13_MIGS,MIGS,MOS & COL,enriched,MIGS_MOS & COL,8656,25486,12002,12002,10460.0,0,0,233.35952341276456,2.5564905849025163,11908.0,1482,0.9828695001215468,11368.0,32.663972671221465,0,149.45384102649558,9608.0,205.0745709048492
p630-N,p630-N_ILLUMINA,ILLUMINA,MOS & COL,enriched,Illumina_enriched,10266,46862,14623,14623,13018.0,0,0,459.01757505299867,2.8585105655474248,14486.0,17616,0.9808742953355672,13576.0,31.78191889489161,0,149.03337208507148,11476.0,249.16460370648971
p630-S1,p630-S1_ILLUMINA,ILLUMINA,MOS & COL,enriched,Illumina_enriched,9646,44442,19250,19250,13235.0,0,0,447.52031168831166,6.165454545454545,19003.0,5942,0.958706742172876,14617.0,24.88877922077922,0,148.09844155844155,12111.0,156.7041038961039
p630-S2,p630-S2_ILLUMINA,ILLUMINA,MOS & COL,enriched,Illumina_enriched,53102,161900,61349,61349,60818.0,0,0,381.8699571305156,0.9412378359875466,61229.0,39202,0.9936534461663736,58115.0,39.126359027857006,0,149.24429086048673,56304.0,197.9763647329215
p630-SF1,p630-SF1_ILLUMINA,ILLUMINA,MOS & COL,enriched,Illumina_enriched,24045,86192,32164,32164,31059.0,0,0,732.9608257679394,1.254321601790822,31917.0,21864,0.9913536818780152,26107.0,37.45588235294117,0,145.76825021763463,29522.0,159.39494465862455
pMR2,pMR2_ILLUMINA,ILLUMINA,MOS & COL,enriched,Illumina_enriched,8888,25356,12027,12027,10930.0,0,0,333.75313877109835,3.0402427870624438,12009.0,1302,0.9794319609608639,10320.0,34.70308472603309,0,148.03575288933234,10344.0,151.21169036334913
pMR3,pMR3_ILLUMINA,ILLUMINA,MOS & COL,enriched,Illumina_enriched,268187,879718,281627,281627,281173.0,0,0,345.20377307573494,0.3290771126347971,281340.0,316464,0.9977766482681184,269517.0,40.84100601149748,0,150.19178558873972,279891.0,286.0933255689264
pS68-1,pS68-1_ILLUMINA,ILLUMINA,MOS & COL,enriched,Illumina_enriched,52480,139933,59449,59449,57641.0,0,0,283.48454978216625,0.9952396171508352,59327.0,21035,0.9933137535588318,54727.0,40.87907281871856,0,149.4259953910074,58335.0,203.72477249407055
pSQ1,pSQ1_ILLUMINA,ILLUMINA,MOS & COL,enriched,Illumina_enriched,35707,94275,44608,44608,38932.0,0,0,224.5321018651363,3.4383518651362985,44600.0,5059,0.9770900713067712,41848.0,36.23863432568149,0,150.17171807747488,41095.0,184.76028963414643
pSQ2,pSQ2_ILLUMINA,ILLUMINA,MOS & COL,enriched,Illumina_enriched,1007896,3166231,1064236,1064236,1057799.0,0,0,235.35885931315983,0.39245524488929145,1064111.0,1037759,0.9973970521422628,1018313.0,41.552693199628656,0,150.9158466731063,1056813.0,202.89943020157185
