# filter_cutoff:0.95 max_insert_relative:3 min_insert:50 min_mapq:-1 pairing_filter:paired_only
scaffold	unfiltered_reads	unfiltered_pairs	unfiltered_singletons	unfiltered_priority_reads	pass_pairing_filter	pass_filter_cutoff	pass_max_insert	pass_min_insert	pass_min_mapq	filtered_pairs	filtered_singletons	filtered_priority_reads	mean_mistmaches	mean_insert_distance	mean_mapq_score	mean_pair_length	median_insert	mean_PID
all_scaffolds	4905.0	2422.0	61.0	0.0	2422	2397.0	2402.0	2421.0	2422.0	2377	0.0	0.0	0.4178364987613543	193.70520231213874	41.59496284062758	148.92774566473992	170.0	0.9971964604226896
hCoV-19_Wuhan_WIV04_2019_EPI_ISL_402124_2019-12-30					2422					2377								
