# filter_cutoff:0.95 max_insert_relative:3 min_insert:50 min_mapq:-1 pairing_filter:paired_only
scaffold	unfiltered_reads	unfiltered_pairs	unfiltered_singletons	unfiltered_priority_reads	pass_pairing_filter	pass_filter_cutoff	pass_max_insert	pass_min_insert	pass_min_mapq	filtered_pairs	filtered_singletons	filtered_priority_reads	mean_mistmaches	mean_insert_distance	mean_mapq_score	mean_pair_length	median_insert	mean_PID
all_scaffolds	3485.0	1712.0	61.0	0.0	1712	1688.0	1699.0	1709.0	1712.0	1673	0.0	0.0	0.5811915887850467	156.05899532710282	41.31366822429906	145.5549065420561	142.5	0.9960019921819151
hCoV-19_Wuhan_WIV04_2019_EPI_ISL_402124_2019-12-30					1712					1673								
