# filter_cutoff:0.95 max_insert_relative:3 min_insert:50 min_mapq:-1 pairing_filter:paired_only
scaffold	unfiltered_reads	unfiltered_pairs	unfiltered_singletons	unfiltered_priority_reads	pass_pairing_filter	pass_filter_cutoff	pass_max_insert	pass_min_insert	pass_min_mapq	filtered_pairs	filtered_singletons	filtered_priority_reads	mean_mistmaches	mean_insert_distance	mean_mapq_score	mean_pair_length	median_insert	mean_PID
all_scaffolds	28665.0	13941.0	783.0	0.0	13941	13682.0	13939.0	13940.0	13941.0	13679	0.0	0.0	0.5260024388494369	163.58266982282476	41.59974176888315	149.2607416971523	161.0	0.9964796982670048
hCoV-19_Wuhan_WIV04_2019_EPI_ISL_402124_2019-12-30					13941					13679								
