# filter_cutoff:0.95 max_insert_relative:3 min_insert:50 min_mapq:-1 pairing_filter:paired_only
scaffold	unfiltered_reads	unfiltered_pairs	unfiltered_singletons	unfiltered_priority_reads	pass_pairing_filter	pass_filter_cutoff	pass_max_insert	pass_min_insert	pass_min_mapq	filtered_pairs	filtered_singletons	filtered_priority_reads	mean_mistmaches	mean_insert_distance	mean_mapq_score	mean_pair_length	median_insert	mean_PID
all_scaffolds	46845.0	23376.0	93.0	0.0	23376	23106.0	23203.0	23367.0	23376.0	22931	0.0	0.0	0.4253080082135524	241.5661789869952	41.68942505133471	149.07956878850104	210.0	0.9971439194018488
hCoV-19_Wuhan_WIV04_2019_EPI_ISL_402124_2019-12-30					23376					22931								
