# filter_cutoff:0.95 max_insert_relative:3 min_insert:50 min_mapq:-1 pairing_filter:paired_only
scaffold	unfiltered_reads	unfiltered_pairs	unfiltered_singletons	unfiltered_priority_reads	pass_pairing_filter	pass_filter_cutoff	pass_max_insert	pass_min_insert	pass_min_mapq	filtered_pairs	filtered_singletons	filtered_priority_reads	mean_mistmaches	mean_insert_distance	mean_mapq_score	mean_pair_length	median_insert	mean_PID
all_scaffolds	4070.0	2001.0	68.0	0.0	2001	1965.0	1981.0	1995.0	2001.0	1942	0.0	0.0	0.5997001499250375	176.9905047476262	41.24087956021989	145.4992503748126	150.0	0.9958992916389602
hCoV-19_Wuhan_WIV04_2019_EPI_ISL_402124_2019-12-30					2001					1942								
