# filter_cutoff:0.95 max_insert_relative:3 min_insert:50 min_mapq:-1 pairing_filter:paired_only
scaffold	unfiltered_reads	unfiltered_pairs	unfiltered_singletons	unfiltered_priority_reads	pass_pairing_filter	pass_filter_cutoff	pass_max_insert	pass_min_insert	pass_min_mapq	filtered_pairs	filtered_singletons	filtered_priority_reads	mean_mistmaches	mean_insert_distance	mean_mapq_score	mean_pair_length	median_insert	mean_PID
all_scaffolds	15280.0	7546.0	188.0	0.0	7546	7402.0	7474.0	7533.0	7546.0	7324	0.0	0.0	0.6406042936655182	250.04134640869339	41.383912006360994	149.84269811820832	215.0	0.9957280007780476
hCoV-19_Wuhan_WIV04_2019_EPI_ISL_402124_2019-12-30					7546					7324								
